Bt0,Bt1,Bt2,Bt3,Sector
-71,-65,-53,-75,1
-66,-68,-53,-70,1
-72,-74,-53,-65,1
-71,-76,-54,-73,1
-78,-77,-53,-69,1
-76,-73,-53,-72,1
-71,-67,-53,-69,1
-69,-69,-54,-73,1
-68,-69,-53,-65,1
-74,-67,-51,-72,1
-75,-63,-50,-78,1
-77,-64,-53,-78,1
-68,-64,-54,-73,1
-74,-62,-53,-71,1
-68,-66,-54,-74,1
-74,-66,-52,-79,1
-68,-64,-52,-66,1
-71,-68,-52,-67,1
-68,-69,-53,-69,1
-63,-69,-53,-68,1
-76,-65,-53,-74,1
-71,-64,-52,-77,1
-71,-64,-53,-81,1
-71,-65,-53,-73,1
-74,-63,-51,-66,1
-71,-62,-51,-65,1
-77,-66,-51,-66,1
-66,-67,-52,-69,1
-82,-62,-53,-66,1
-72,-67,-53,-67,1
-71,-67,-53,-68,1
-69,-65,-53,-68,1
-74,-66,-53,-67,1
-69,-67,-53,-67,1
-71,-66,-51,-68,1
-84,-67,-53,-65,1
-75,-66,-52,-67,1
-73,-66,-53,-67,1
-69,-66,-51,-66,1
-69,-67,-53,-68,1
-68,-66,-52,-77,1
-65,-68,-53,-69,1
-70,-65,-52,-65,1
-69,-64,-53,-80,1
-73,-65,-52,-68,1
-74,-67,-51,-66,1
-69,-67,-53,-66,1
-80,-63,-52,-66,1
-71,-68,-52,-80,1
-68,-62,-53,-65,1
-72,-64,-54,-67,1
-69,-66,-53,-66,1
-69,-69,-53,-67,1
-69,-66,-53,-67,1
-68,-66,-53,-67,1
-68,-66,-54,-76,1
-68,-67,-53,-70,1
-68,-64,-53,-67,1
-68,-67,-54,-70,1
-68,-66,-54,-75,1
-68,-66,-54,-75,1
-68,-67,-53,-76,1
-79,-65,-54,-67,1
-69,-66,-53,-67,1
-78,-65,-54,-75,1
-68,-64,-54,-70,1
-69,-64,-52,-75,1
-69,-67,-53,-67,1
-69,-64,-54,-67,1
-78,-64,-53,-75,1
-79,-67,-52,-70,1
-80,-65,-54,-66,1
-68,-67,-52,-75,1
-69,-66,-54,-76,1
-68,-64,-51,-66,1
-68,-67,-54,-69,1
-68,-66,-54,-67,1
-78,-67,-54,-69,1
-79,-67,-53,-67,1
-78,-64,-53,-69,1
-78,-67,-53,-67,1
-78,-65,-52,-67,1
-69,-67,-53,-75,1
-80,-67,-52,-67,1
-68,-64,-52,-67,1
-68,-67,-52,-67,1
-68,-67,-54,-66,1
-68,-65,-53,-66,1
-80,-65,-52,-67,1
-81,-63,-52,-75,1
-69,-64,-54,-66,1
-80,-66,-52,-69,1
-79,-64,-54,-75,1
-79,-67,-52,-66,1
-69,-66,-52,-67,1
-79,-64,-52,-69,1
-68,-66,-53,-75,1
-80,-63,-52,-75,1
-80,-67,-52,-67,1
-80,-66,-52,-69,1
-68,-67,-52,-69,1
-68,-67,-53,-69,1
-79,-67,-53,-66,1
-79,-65,-52,-75,1
-68,-64,-54,-75,1
-80,-64,-52,-66,1
-68,-65,-54,-75,1
-69,-65,-53,-66,1
-79,-66,-54,-70,1
-79,-66,-53,-67,1
-68,-64,-52,-67,1
-68,-65,-52,-75,1
-68,-64,-52,-67,1
-68,-65,-52,-75,1
-68,-67,-52,-67,1
-68,-67,-54,-67,1
-80,-67,-54,-67,1
-68,-66,-54,-67,1
-68,-65,-52,-69,1
-68,-64,-53,-75,1
-68,-64,-52,-67,1
-79,-67,-52,-67,1
-80,-67,-52,-70,1
-68,-65,-53,-75,1
-69,-67,-54,-66,1
-68,-64,-54,-67,1
-68,-64,-54,-75,1
-68,-67,-52,-75,1
-80,-65,-52,-75,1
-69,-64,-54,-67,1
-69,-64,-52,-67,1
-69,-67,-53,-67,1
-80,-66,-52,-75,1
-69,-65,-52,-66,1
-81,-67,-53,-67,1
-68,-64,-54,-67,1
-69,-67,-54,-75,1
-80,-67,-54,-67,1
-68,-67,-54,-75,1
-68,-65,-54,-75,1
-80,-63,-53,-67,1
-69,-64,-54,-75,1
-68,-67,-54,-67,1
-81,-67,-54,-69,1
-69,-64,-54,-67,1
-68,-67,-52,-75,1
-68,-68,-52,-75,1
-68,-67,-54,-67,1
-68,-64,-54,-67,1
-79,-66,-52,-75,1
-69,-67,-52,-67,1
-68,-66,-54,-75,1
-69,-66,-52,-67,1
-69,-67,-52,-75,1
-69,-67,-52,-76,1
-69,-67,-53,-75,1
-68,-64,-53,-69,1
-69,-67,-53,-67,1
-68,-67,-53,-67,1
-69,-66,-54,-66,1
-78,-66,-52,-70,1
-69,-64,-54,-70,1
-79,-67,-52,-75,1
-68,-66,-54,-70,1
-68,-63,-52,-75,1
-68,-67,-53,-75,1
-68,-66,-55,-70,1
-68,-65,-52,-67,1
-69,-66,-53,-67,1
-78,-66,-54,-66,1
-68,-65,-54,-67,1
-79,-66,-52,-75,1
-68,-64,-52,-75,1
-68,-65,-53,-67,1
-68,-64,-54,-75,1
-79,-64,-52,-68,1
-69,-67,-53,-75,1
-78,-64,-54,-67,1
-69,-64,-52,-75,1
-69,-65,-52,-75,1
-79,-66,-52,-75,1
-68,-64,-54,-70,1
-68,-67,-52,-70,1
-69,-66,-54,-67,1
-68,-66,-53,-76,1
-68,-67,-53,-67,1
-68,-67,-52,-75,1
-79,-64,-52,-70,1
-69,-67,-53,-70,1
-68,-67,-52,-75,1
-80,-67,-52,-70,1
-79,-64,-54,-67,1
-69,-64,-54,-75,1
-69,-66,-54,-75,1
-68,-66,-54,-67,1
-79,-66,-54,-75,1
-69,-64,-53,-75,1
-69,-66,-52,-66,1
-68,-64,-53,-70,1
-69,-64,-54,-75,1
-68,-64,-52,-67,1
-68,-67,-52,-70,1
-68,-64,-54,-75,1
-68,-67,-53,-67,1
-79,-66,-52,-75,1
-79,-64,-52,-75,1
-68,-67,-52,-75,1
-79,-64,-52,-70,1
-66,-65,-52,-70,1
-69,-65,-51,-75,1
-80,-65,-54,-75,1
-69,-67,-54,-69,1
-80,-65,-53,-75,1
-68,-66,-54,-67,1
-69,-65,-53,-67,1
-68,-64,-54,-75,1
-80,-65,-54,-75,1
-68,-64,-52,-67,1
-69,-64,-54,-67,1
-68,-65,-53,-75,1
-68,-67,-54,-75,1
-80,-67,-52,-70,1
-69,-64,-54,-70,1
-80,-65,-53,-67,1
-69,-67,-54,-70,1
-80,-66,-52,-67,1
-80,-64,-54,-67,1
-69,-67,-54,-67,1
-80,-67,-52,-70,1
-79,-64,-52,-69,1
-80,-67,-53,-67,1
-69,-65,-52,-70,1
-69,-64,-52,-74,1
-69,-64,-54,-67,1
-80,-66,-52,-67,1
-68,-64,-54,-66,1
-68,-67,-53,-70,1
-68,-64,-52,-67,1
-69,-63,-54,-75,1
-80,-66,-53,-75,1
-69,-67,-53,-75,1
-69,-67,-52,-67,1
-80,-67,-52,-70,1
-69,-64,-54,-75,1
-80,-67,-53,-67,1
-68,-66,-54,-75,1
-69,-66,-52,-75,1
-69,-67,-52,-67,1
-80,-66,-53,-69,1
-80,-67,-54,-70,1
-80,-66,-52,-69,1
-69,-67,-54,-67,1
-69,-67,-53,-75,1
-82,-67,-53,-69,1
-69,-67,-52,-75,1
-69,-67,-53,-67,1
-69,-64,-52,-69,1
-68,-66,-54,-67,1
-68,-66,-54,-75,1
-69,-64,-52,-69,1
-80,-67,-54,-67,1
-69,-68,-53,-67,1
-80,-64,-53,-67,1
-68,-67,-53,-67,1
-69,-64,-52,-67,1
-69,-67,-52,-67,1
-78,-66,-54,-70,1
-68,-64,-54,-67,1
-69,-66,-53,-67,1
-78,-67,-54,-75,1
-69,-67,-54,-69,1
-80,-67,-54,-67,1
-69,-64,-54,-67,1
-69,-67,-52,-69,1
-69,-67,-54,-69,1
-68,-67,-54,-67,1
-69,-66,-54,-70,1
-69,-66,-53,-70,1
-80,-66,-52,-75,1
-69,-67,-52,-66,1
-69,-66,-54,-66,1
-69,-64,-52,-76,1
-79,-66,-53,-75,1
-79,-65,-53,-75,1
-68,-64,-52,-75,1
-79,-65,-53,-75,1
-79,-65,-53,-75,1
-67,-67,-53,-67,1
-68,-64,-52,-75,1
-69,-64,-54,-74,1
-69,-64,-54,-70,1
-78,-65,-52,-67,1
-69,-64,-54,-75,1
-68,-66,-53,-67,1
-78,-67,-54,-69,1
-69,-67,-52,-67,1
-68,-68,-52,-75,1
-78,-65,-52,-70,1
-69,-65,-54,-70,1
-69,-64,-53,-75,1
-68,-66,-53,-75,1
-69,-66,-54,-75,1
-68,-67,-54,-75,1
-79,-66,-54,-75,1
-80,-67,-54,-67,1
-69,-66,-54,-70,1
-69,-65,-54,-67,1
-80,-65,-53,-67,1
-79,-66,-53,-67,1
-68,-67,-53,-75,1
-69,-63,-53,-70,1
-69,-68,-52,-70,1
-79,-66,-52,-70,1
-79,-67,-54,-67,1
-78,-67,-54,-76,1
-69,-64,-54,-70,1
-79,-65,-54,-67,1
-69,-66,-54,-75,1
-78,-67,-54,-70,1
-68,-64,-53,-67,1
-68,-66,-52,-67,1
-69,-64,-52,-67,1
-68,-65,-54,-75,1
-68,-66,-54,-75,1
-68,-66,-54,-76,1
-78,-64,-53,-67,1
-68,-66,-54,-67,1
-69,-66,-54,-70,1
-69,-67,-54,-67,1
-69,-67,-54,-67,1
-78,-67,-52,-76,1
-79,-64,-53,-67,1
-69,-67,-54,-70,1
-68,-64,-54,-67,1
-76,-64,-53,-70,1
-78,-64,-54,-76,1
-69,-66,-52,-76,1
-69,-67,-53,-75,1
-68,-64,-52,-67,1
-78,-65,-52,-76,1
-68,-64,-52,-75,1
-69,-66,-53,-75,1
-68,-68,-53,-75,1
-68,-66,-52,-75,1
-79,-66,-53,-67,1
-69,-67,-54,-70,1
-68,-66,-52,-76,1
-68,-64,-54,-75,1
-68,-64,-54,-75,1
-69,-66,-53,-70,1
-68,-67,-52,-67,1
-79,-67,-54,-67,1
-68,-68,-52,-75,1
-69,-68,-53,-75,1
-78,-68,-53,-75,1
-78,-66,-54,-67,1
-78,-66,-54,-75,1
-78,-66,-52,-67,1
-78,-66,-54,-67,1
-78,-65,-53,-67,1
-69,-66,-54,-67,1
-69,-66,-54,-75,1
-78,-66,-54,-70,1
-69,-65,-54,-75,1
-69,-67,-54,-70,1
-69,-66,-53,-75,1
-69,-66,-53,-75,1
-69,-67,-54,-75,1
-78,-67,-54,-67,1
-69,-67,-52,-67,1
-69,-67,-53,-67,1
-78,-67,-53,-67,1
-69,-67,-53,-75,1
-78,-67,-52,-70,1
-78,-68,-52,-69,1
-69,-67,-54,-67,1
-69,-66,-54,-75,1
-69,-64,-53,-67,1
-69,-64,-53,-67,1
-68,-67,-54,-67,1
-68,-68,-54,-67,1
-78,-68,-54,-76,1
-78,-66,-52,-75,1
-69,-67,-54,-68,1
-79,-67,-52,-75,1
-79,-66,-52,-75,1
-69,-65,-54,-67,1
-79,-67,-54,-67,1
-69,-67,-54,-75,1
-79,-67,-54,-70,1
-69,-64,-54,-67,1
-69,-68,-54,-75,1
-69,-65,-52,-75,1
-77,-67,-54,-67,1
-69,-67,-52,-68,1
-68,-67,-54,-67,1
-69,-67,-53,-69,1
-69,-67,-53,-67,1
-69,-67,-54,-67,1
-67,-65,-53,-70,1
-69,-67,-53,-67,1
-69,-67,-54,-75,1
-68,-66,-54,-76,1
-69,-67,-54,-75,1
-68,-66,-53,-70,1
-69,-65,-53,-75,1
-78,-67,-54,-67,1
-68,-67,-53,-76,1
-68,-65,-54,-75,1
-68,-64,-52,-75,1
-68,-67,-54,-67,1
-68,-66,-53,-67,1
-68,-64,-54,-70,1
-69,-67,-54,-76,1
-78,-67,-53,-67,1
-68,-67,-53,-76,1
-68,-66,-53,-67,1
-69,-65,-53,-70,1
-69,-67,-54,-68,1
-69,-65,-54,-70,1
-79,-66,-54,-67,1
-68,-64,-54,-68,1
-80,-66,-52,-76,1
-68,-66,-53,-76,1
-69,-65,-52,-70,1
-80,-67,-53,-75,1
-80,-66,-54,-67,1
-69,-67,-53,-70,1
-80,-66,-54,-75,1
-68,-67,-54,-67,1
-68,-66,-54,-76,1
-78,-64,-53,-76,1
-68,-65,-54,-70,1
-69,-65,-53,-70,1
-69,-67,-54,-75,1
-69,-64,-53,-76,1
-68,-64,-54,-67,1
-69,-67,-53,-76,1
-69,-67,-52,-70,1
-69,-64,-54,-67,1
-68,-64,-54,-70,1
-78,-67,-53,-75,1
-68,-66,-54,-75,1
-69,-67,-52,-67,1
-78,-67,-53,-67,1
-68,-65,-54,-70,1
-68,-67,-52,-70,1
-68,-64,-54,-76,1
-78,-65,-54,-67,1
-69,-64,-53,-70,1
-78,-65,-53,-76,1
-69,-67,-53,-68,1
-78,-67,-52,-70,1
-69,-67,-53,-75,1
-79,-65,-54,-70,1
-78,-66,-53,-75,1
-69,-66,-54,-70,1
-79,-67,-53,-70,1
-69,-66,-53,-67,1
-79,-67,-54,-67,1
-68,-66,-52,-67,1
-69,-66,-54,-67,1
-78,-64,-54,-67,1
-69,-67,-54,-67,1
-69,-67,-53,-68,1
-78,-66,-53,-67,1
-79,-67,-53,-70,1
-68,-64,-53,-75,1
-79,-66,-53,-76,1
-68,-64,-54,-75,1
-78,-64,-52,-76,1
-68,-67,-53,-76,1
-80,-67,-54,-67,1
-79,-64,-54,-67,1
-69,-67,-54,-67,1
-80,-67,-54,-67,1
-69,-65,-53,-75,1
-68,-67,-54,-76,1
-69,-66,-54,-76,1
-69,-67,-53,-67,1
-80,-64,-52,-76,1
-69,-67,-54,-67,1
-68,-67,-53,-76,1
-69,-64,-54,-76,1
-80,-66,-54,-67,1
-80,-66,-53,-76,1
-68,-67,-53,-70,1
-68,-66,-53,-70,1
-69,-65,-53,-76,1
-79,-67,-53,-67,1
-68,-66,-53,-75,1
-69,-66,-53,-67,1
-69,-67,-54,-70,1
-79,-67,-53,-76,1
-69,-66,-54,-67,1
-68,-66,-52,-75,1
-79,-67,-52,-75,1
-69,-66,-53,-67,1
-69,-66,-52,-67,1
-78,-66,-53,-67,1
-78,-64,-54,-67,1
-79,-65,-54,-75,1
-79,-66,-54,-75,1
-79,-66,-53,-76,1
-69,-67,-52,-75,1
-79,-66,-54,-70,1
-80,-65,-52,-70,1
-69,-65,-52,-75,1
-69,-67,-53,-75,1
-69,-65,-52,-76,1
