pclass,survived,sex,age_b,class
1,1,female,Adult,211.34
1,1,male,Child,151.55
1,0,female,Child,151.55
1,0,male,Adult,151.55
1,0,female,Adult,151.55
1,1,male,Adult,26.55
1,1,female,Adult,77.96
1,0,male,Adult,0
1,1,female,Adult,51.48
1,0,male,Adult,49.5
1,0,male,Adult,227.53
1,1,female,Adult,227.53
1,1,female,Adult,69.3
1,1,female,Adult,78.85
1,1,male,Adult,30
1,0,male,Adult,25.92
1,0,male,Adult,247.52
1,1,female,Adult,247.52
1,1,female,Adult,76.29
1,0,male,Adult,75.24
1,1,male,Adult,52.55
1,1,female,Adult,52.55
1,1,male,Adult,30
1,1,female,Adult,227.53
1,1,female,Adult,221.78
1,0,male,Adult,26
1,1,male,Adult,91.08
1,1,female,Adult,91.08
1,1,female,Adult,135.63
1,1,male,Adult,26.55
1,0,male,Adult,35.5
1,1,male,Adult,31
1,1,female,Adult,164.87
1,1,female,Adult,26.55
1,0,male,Adult,26.55
1,1,female,Adult,262.38
1,1,female,Adult,55
1,1,male,Adult,26.55
1,0,male,Adult,30.5
1,0,male,Adult,50.5
1,0,male,Adult,39.6
1,1,female,Adult,27.72
1,1,female,Adult,51.48
1,1,female,Adult,76.29
1,1,female,Adult,134.5
1,0,male,Adult,26.55
1,0,male,Adult,31
1,1,male,Adult,26.29
1,1,female,Adult,27.45
1,1,male,Adult,512.33
1,1,female,Adult,512.33
1,0,male,Adult,5
1,0,male,Adult,47.1
1,0,male,Adult,47.1
1,1,male,Child,120
1,1,female,Child,120
1,1,male,Adult,120
1,1,female,Adult,120
1,0,male,Adult,26
1,1,female,Adult,27.72
1,0,male,Adult,78.85
1,1,female,Adult,78.85
1,0,male,Adult,61.18
1,1,female,Adult,61.18
1,1,male,Adult,53.1
1,1,female,Adult,53.1
1,1,female,Adult,262.38
1,1,female,Adult,86.5
1,1,male,Adult,29.7
1,1,female,Adult,55
1,0,male,Adult,0
1,0,male,Adult,136.78
1,1,female,Adult,136.78
1,1,female,Adult,151.55
1,0,male,Adult,52
1,0,male,Adult,25.59
1,1,female,Adult,83.16
1,0,male,Adult,83.16
1,1,female,Adult,83.16
1,1,female,Adult,25.7
1,0,male,Adult,26.55
1,0,male,Adult,71
1,1,female,Adult,71
1,1,female,Adult,26.55
1,0,male,Adult,71.28
1,1,female,Adult,71.28
1,1,male,Adult,26.55
1,1,male,Adult,30.5
1,1,female,Adult,151.55
1,0,male,Adult,52
1,1,female,Adult,52
1,1,male,Adult,57
1,1,female,Adult,57
1,1,male,Adult,81.86
1,1,male,Child,81.86
1,1,female,Adult,81.86
1,0,male,Adult,106.43
1,1,female,Adult,247.52
1,1,female,Adult,106.43
1,1,female,Adult,39.6
1,1,male,Adult,56.93
1,0,male,Adult,29.7
1,1,female,Adult,83.16
1,1,female,Adult,227.53
1,1,female,Adult,78.27
1,0,female,Adult,31.68
1,0,male,Adult,221.78
1,1,female,Adult,31.68
1,1,female,Adult,110.88
1,1,male,Adult,26.39
1,0,male,Adult,27.75
1,1,female,Adult,263
1,1,female,Adult,263
1,1,female,Adult,263
1,0,male,Adult,263
1,0,male,Adult,263
1,1,female,Adult,263
1,1,female,Adult,56.93
1,0,male,Adult,26.55
1,1,male,Adult,133.65
1,1,male,Adult,27.72
1,1,female,Adult,133.65
1,1,female,Adult,49.5
1,1,male,Adult,79.2
1,1,female,Adult,79.2
1,0,male,Adult,0
1,0,male,Adult,53.1
1,1,female,Adult,53.1
1,0,male,Adult,38.5
1,1,female,Adult,211.5
1,1,female,Adult,59.4
1,1,female,Adult,59.4
1,0,male,Adult,79.2
1,1,male,Adult,89.1
1,1,female,Adult,89.1
1,0,male,Adult,34.65
1,1,male,Adult,28.5
1,1,female,Adult,30
1,0,male,Adult,153.46
1,1,female,Adult,153.46
1,1,male,Adult,63.36
1,1,female,Adult,63.36
1,0,male,Adult,79.2
1,1,male,Adult,55.44
1,1,female,Adult,55.44
1,1,male,Adult,76.73
1,1,female,Adult,76.73
1,0,male,Adult,42.4
1,0,male,Adult,83.48
1,1,female,Adult,83.48
1,0,male,Adult,0
1,1,male,Adult,76.73
1,1,male,Adult,30
1,1,female,Adult,83.16
1,0,male,Adult,93.5
1,1,female,Adult,93.5
1,0,male,Adult,42.5
1,0,male,Adult,51.86
1,0,male,Adult,50
1,1,female,Adult,57.98
